E:\ProgramData\Anaconda3\envs\base124\python.exe G:\DRPrograme\seinet3\train_open_contrastive.py
[Epoch 5] ce_loss: 0.1562 | con_loss: 1.2640
[Epoch 5] ce_loss: 0.1555 | con_loss: 1.2636
[Epoch 5] ce_loss: 0.1631 | con_loss: 1.2783
[Epoch 5] ce_loss: 0.1754 | con_loss: 1.2641
[Epoch 5] ce_loss: 0.1513 | con_loss: 1.2757
[Epoch 5] ce_loss: 0.1499 | con_loss: 1.2856
[Epoch 5] ce_loss: 0.1533 | con_loss: 1.0732
[Epoch 5] Loss: 1.4842 | Acc: 99.77
[Epoch 6] ce_loss: 0.1329 | con_loss: 1.2402
[Epoch 6] ce_loss: 0.1562 | con_loss: 1.2906
[Epoch 6] ce_loss: 0.1410 | con_loss: 1.2678
[Epoch 6] ce_loss: 0.1383 | con_loss: 1.2551
[Epoch 6] ce_loss: 0.1345 | con_loss: 1.2413
[Epoch 6] ce_loss: 0.1222 | con_loss: 1.2469
[Epoch 6] ce_loss: 0.1254 | con_loss: 1.2573
[Epoch 6] ce_loss: 0.1217 | con_loss: 1.2514
[Epoch 6] ce_loss: 0.1293 | con_loss: 1.2647
[Epoch 6] ce_loss: 0.1343 | con_loss: 1.2817
[Epoch 6] ce_loss: 0.1302 | con_loss: 1.2523
[Epoch 6] ce_loss: 0.1291 | con_loss: 1.2656
[Epoch 6] ce_loss: 0.1131 | con_loss: 1.2444
[Epoch 6] ce_loss: 0.1354 | con_loss: 1.2842
[Epoch 6] ce_loss: 0.1192 | con_loss: 1.2522
[Epoch 6] ce_loss: 0.1313 | con_loss: 1.2606
[Epoch 6] ce_loss: 0.2136 | con_loss: 1.3097
[Epoch 6] ce_loss: 0.1172 | con_loss: 1.2454
[Epoch 6] ce_loss: 0.1377 | con_loss: 1.2609
[Epoch 6] ce_loss: 0.1371 | con_loss: 1.2823
[Epoch 6] ce_loss: 0.1277 | con_loss: 1.2635
[Epoch 6] ce_loss: 0.1208 | con_loss: 1.2562
[Epoch 6] ce_loss: 0.1133 | con_loss: 1.2505
[Epoch 6] ce_loss: 0.1264 | con_loss: 1.2585
[Epoch 6] ce_loss: 0.1221 | con_loss: 1.2521
[Epoch 6] ce_loss: 0.1166 | con_loss: 1.2506
[Epoch 6] ce_loss: 0.1179 | con_loss: 1.2663
[Epoch 6] ce_loss: 0.1091 | con_loss: 1.2467
[Epoch 6] ce_loss: 0.1115 | con_loss: 1.2567
[Epoch 6] ce_loss: 0.1140 | con_loss: 1.2545
[Epoch 6] ce_loss: 0.1370 | con_loss: 1.2814
[Epoch 6] ce_loss: 0.1005 | con_loss: 1.2528
[Epoch 6] ce_loss: 0.1088 | con_loss: 1.2542
[Epoch 6] ce_loss: 0.1205 | con_loss: 1.2797
[Epoch 6] ce_loss: 0.1436 | con_loss: 1.2938
[Epoch 6] ce_loss: 0.1131 | con_loss: 1.2773
[Epoch 6] ce_loss: 0.1119 | con_loss: 1.2535
[Epoch 6] ce_loss: 0.1241 | con_loss: 1.2694
[Epoch 6] ce_loss: 0.1683 | con_loss: 1.2766
[Epoch 6] ce_loss: 0.1318 | con_loss: 1.2869
[Epoch 6] ce_loss: 0.1099 | con_loss: 1.2544
[Epoch 6] ce_loss: 0.1114 | con_loss: 1.2574
[Epoch 6] ce_loss: 0.1069 | con_loss: 1.2452
[Epoch 6] ce_loss: 0.1093 | con_loss: 1.2578
[Epoch 6] ce_loss: 0.1051 | con_loss: 1.2759
[Epoch 6] ce_loss: 0.1007 | con_loss: 1.2553
[Epoch 6] ce_loss: 0.1283 | con_loss: 1.3054
[Epoch 6] ce_loss: 0.0984 | con_loss: 1.2493
[Epoch 6] ce_loss: 0.1056 | con_loss: 1.2537
[Epoch 6] ce_loss: 0.1110 | con_loss: 1.2612
[Epoch 6] ce_loss: 0.1051 | con_loss: 1.2574
[Epoch 6] ce_loss: 0.0968 | con_loss: 1.2595
[Epoch 6] ce_loss: 0.1063 | con_loss: 1.2659
[Epoch 6] ce_loss: 0.0916 | con_loss: 1.2562
[Epoch 6] ce_loss: 0.1066 | con_loss: 1.0374
[Epoch 6] Loss: 1.3811 | Acc: 99.74
[Epoch 7] ce_loss: 0.0946 | con_loss: 1.2579
[Epoch 7] ce_loss: 0.0920 | con_loss: 1.2559
[Epoch 7] ce_loss: 0.0882 | con_loss: 1.2496
[Epoch 7] ce_loss: 0.0887 | con_loss: 1.2666
[Epoch 7] ce_loss: 0.0926 | con_loss: 1.2557
[Epoch 7] ce_loss: 0.0964 | con_loss: 1.2620
[Epoch 7] ce_loss: 0.0854 | con_loss: 1.2384
[Epoch 7] ce_loss: 0.0900 | con_loss: 1.2525
[Epoch 7] ce_loss: 0.0853 | con_loss: 1.2554
[Epoch 7] ce_loss: 0.0791 | con_loss: 1.2556
[Epoch 7] ce_loss: 0.0800 | con_loss: 1.2536
[Epoch 7] ce_loss: 0.0869 | con_loss: 1.2544
[Epoch 7] ce_loss: 0.0832 | con_loss: 1.2517
[Epoch 7] ce_loss: 0.0850 | con_loss: 1.2505
[Epoch 7] ce_loss: 0.0764 | con_loss: 1.2543
[Epoch 7] ce_loss: 0.0778 | con_loss: 1.2447
[Epoch 7] ce_loss: 0.0771 | con_loss: 1.2433
[Epoch 7] ce_loss: 0.0879 | con_loss: 1.2663
[Epoch 7] ce_loss: 0.0725 | con_loss: 1.2403
[Epoch 7] ce_loss: 0.0801 | con_loss: 1.2543
[Epoch 7] ce_loss: 0.0723 | con_loss: 1.2410
[Epoch 7] ce_loss: 0.0736 | con_loss: 1.2590
[Epoch 7] ce_loss: 0.0744 | con_loss: 1.2380
[Epoch 7] ce_loss: 0.0723 | con_loss: 1.2471
[Epoch 7] ce_loss: 0.0747 | con_loss: 1.2492
[Epoch 7] ce_loss: 0.0812 | con_loss: 1.2606
[Epoch 7] ce_loss: 0.0753 | con_loss: 1.2479
[Epoch 7] ce_loss: 0.0783 | con_loss: 1.2554
[Epoch 7] ce_loss: 0.0756 | con_loss: 1.2457
[Epoch 7] ce_loss: 0.0712 | con_loss: 1.2537
[Epoch 7] ce_loss: 0.0708 | con_loss: 1.2492
[Epoch 7] ce_loss: 0.0722 | con_loss: 1.2490
[Epoch 7] ce_loss: 0.0716 | con_loss: 1.2636
[Epoch 7] ce_loss: 0.0673 | con_loss: 1.2474
[Epoch 7] ce_loss: 0.0772 | con_loss: 1.2620
[Epoch 7] ce_loss: 0.0666 | con_loss: 1.2383
[Epoch 7] ce_loss: 0.1005 | con_loss: 1.2628
[Epoch 7] ce_loss: 0.0842 | con_loss: 1.2689
[Epoch 7] ce_loss: 0.0634 | con_loss: 1.2395
